Clade_name,Status,Missing_species,Branching_times,MinAge
Pedinopistha_stigmaticus,Non_Endemic,0,2.001,NA
Pagiopalus_atomarius,Non_Endemic,0,1.337,0.576
Pagiopalus_sp,Non_Endemic,0,1.205,NA
Pagiopalus_nigriventis,Non_Endemic,0,1.506,0.387
Tetragnatha_obscura_Tetragnatha_kukuhaa,Endemic,0,"1.73,0.29",NA
Tetragnatha_hawaiiensis,Non_Endemic,0,4.787,NA
Tetragnatha_quasimodo,Non_Endemic,0,2.761,NA
Tetragnatha_anuenue,Endemic,0,2.1,NA
Tetragnatha_brevignathaHA,Non_Endemic,0,1.69,NA
Tetragnatha_restricta,Non_Endemic,0,2.05,NA
Tetragnatha_kea,Endemic,0,1.72,NA
Tetragnatha_long_clawed_legs,Endemic,0,1.6,NA
Tetragnatha_elongate_forest_D,Endemic,0,0.145,NA
Tetragnatha_elongate_forest_E,Endemic,0,0.79,NA
Tetragnatha_perkinsi,Endemic,0,1.64,NA
Tetragnatha_golden_dome_Tetragnatha_red_star,Endemic,0,"2.53,2.06",NA
Tetragnatha_acuta,Non_Endemic,0,NA,NA
Cnephalocotes_simpliciceps,Endemic,0,NA,NA
Erigone_stygius,Endemic,0,NA,NA
Orsonwelles_graphicus,Endemic,0,3.02,0.48
Mecaphesa_anguliventris,Non_Endemic,0,0.3078,0.0166
Mecaphesa_naevigera,Non_Endemic,0,0.5043,NA
Mecaphesa_cavata,Endemic,0,1.402,0.2068
Mecaphesa_facunda,Endemic,0,1.3136,0.4135
Mecaphesa_kanakana,Non_Endemic,0,0.779,0.5783
Mecaphesa_imbricata,Non_Endemic,0,NA,NA
Mecaphesa_insulana,Non_Endemic,0,NA,NA
Mecaphesa_junctus,Non_Endemic,0,NA,NA
Mecaphesa_oreades,Non_Endemic,0,NA,NA
Mecaphesa_arida,Non_Endemic,0,NA,NA
Mecaphesa_nigrofrenata,Non_Endemic,0,NA,NA
Synaema_naevigerum,Non_Endemic,0,NA,NA
Ariamnes_waikula,Endemic,0,1,0.4459
Ariamnes_hiwa,Endemic,0,2.13,0.5481
Argyrodes_hawaiiensis,Endemic,0,2.7309,0.6564
Havaika_cruciata,Endemic,0,1.1403,NA
Havaika_pubens,Non_Endemic,0,2.3564,NA
Havaika_navata,Non_Endemic,0,NA,NA
Havaika_valida,Non_Endemic,0,NA,NA
Araneus_emmae,Non_Endemic,0,NA,NA
Araneus_kapiolaniae,Non_Endemic,0,NA,NA
Cyclosa_cucurbitula_trees_speckles,Non_Endemic,0,NA,NA
Cyclosa_cucurbitula_simplicaudata,Non_Endemic,0,NA,NA
Cyclosa_cucurbitula_perkinsi,Non_Endemic,0,NA,NA
Lycosa_hawaiiensis,Non_Endemic,0,NA,NA
Lycosa_howarthi,Endemic,1,NA,NA
Lycosa_oahuensis,Non_Endemic,0,NA,NA
Syroloma_majus,Non_Endemic,0,NA,NA
Ischnothyreus_sp,Endemic,1,NA,NA
Theridion_grallator,Non_Endemic,0,NA,NA
Theridion_melinum,Non_Endemic,0,NA,NA
Theridion_praetextum,Non_Endemic,0,NA,NA
